day_number,process,floor,trade,is_invalid,is_rework,daily_work_done,efficiency,start_day,complete_day,recorded_at
1,Gravel base layer,1,Gravel,TRUE,TRUE,0,0.00%,0,null,2025-03-25 11:54:28.699895+00
1,Partition phase 1,1,Partition,FALSE,TRUE,54,98.18%,0,null,2025-03-25 11:54:28.699895+00
2,Gravel base layer,1,Gravel,FALSE,TRUE,34,100.00%,0,null,2025-03-25 11:54:28.699895+00
2,Partition phase 1,1,Partition,TRUE,TRUE,0,0.00%,0,null,2025-03-25 11:54:28.699895+00
3,Gravel base layer,1,Gravel,FALSE,TRUE,31,91.18%,0,null,2025-03-25 11:54:28.699895+00
3,Partition phase 1,1,Partition,TRUE,TRUE,0,0.00%,0,null,2025-03-25 11:54:28.699895+00
4,Gravel base layer,1,Gravel,FALSE,TRUE,37,108.82%,0,null,2025-03-25 11:54:28.699895+00
4,Partition phase 1,1,Partition,TRUE,TRUE,0,0.00%,0,null,2025-03-25 11:54:28.699895+00
5,Gravel base layer,1,Gravel,FALSE,TRUE,36,105.88%,0,null,2025-03-25 11:54:28.699895+00
5,Partition phase 1,1,Partition,TRUE,TRUE,0,0.00%,0,null,2025-03-25 11:54:28.699895+00
6,Gravel base layer,1,Gravel,TRUE,TRUE,0,0.00%,0,null,2025-03-25 11:54:28.699895+00
6,Partition phase 1,1,Partition,FALSE,TRUE,53,96.36%,0,null,2025-03-25 11:54:28.699895+00
7,Gravel base layer,1,Gravel,FALSE,TRUE,37,108.82%,0,7,2025-03-25 11:54:28.699895+00
7,Partition phase 1,1,Partition,FALSE,TRUE,54,98.18%,0,null,2025-03-25 11:54:28.699895+00
8,Electric conduits in the floor,1,Electricity,FALSE,TRUE,51,100.00%,7,null,2025-03-25 11:54:28.699895+00
8,Gravel base layer,2,Gravel,TRUE,TRUE,0,0.00%,7,null,2025-03-25 11:54:28.699895+00
8,Partition phase 1,1,Partition,FALSE,TRUE,60,109.09%,0,null,2025-03-25 11:54:28.699895+00
8,Pipes in the floor,1,Plumbing,FALSE,TRUE,74,107.25%,7,null,2025-03-25 11:54:28.699895+00
9,Electric conduits in the floor,1,Electricity,TRUE,TRUE,0,0.00%,7,null,2025-03-25 11:54:28.699895+00
9,Gravel base layer,2,Gravel,FALSE,TRUE,33,97.06%,7,null,2025-03-25 11:54:28.699895+00
9,Partition phase 1,1,Partition,FALSE,TRUE,53,96.36%,0,null,2025-03-25 11:54:28.699895+00
9,Pipes in the floor,1,Plumbing,TRUE,TRUE,0,0.00%,7,null,2025-03-25 11:54:28.699895+00
10,Electric conduits in the floor,1,Electricity,TRUE,TRUE,0,0.00%,7,null,2025-03-25 11:54:28.699895+00
10,Gravel base layer,2,Gravel,FALSE,TRUE,36,105.88%,7,null,2025-03-25 11:54:28.699895+00
10,Partition phase 1,1,Partition,FALSE,TRUE,54,98.18%,0,null,2025-03-25 11:54:28.699895+00
10,Pipes in the floor,1,Plumbing,FALSE,TRUE,66,95.65%,7,10,2025-03-25 11:54:28.699895+00
