"day_number","process","floor","trade","is_invalid","is_rework","daily_work_done","efficiency","start_day","complete_day","work_efficiency","recorded_at"
"1","Gravel base layer","1","Gravel","true","true","0","0.00%","0","null","34.00","2025-03-25 12:22:42.526124+00"
"1","Partition phase 1","1","Partition","false","true","59","107.27%","0","null","55.00","2025-03-25 12:22:42.526124+00"
"2","Gravel base layer","1","Gravel","false","true","36","105.88%","0","null","34.00","2025-03-25 12:22:42.526124+00"
"2","Partition phase 1","1","Partition","false","true","52","94.55%","0","null","55.00","2025-03-25 12:22:42.526124+00"
"3","Gravel base layer","1","Gravel","false","true","36","105.88%","0","null","34.00","2025-03-25 12:22:42.526124+00"
"3","Partition phase 1","1","Partition","false","true","52","94.55%","0","null","55.00","2025-03-25 12:22:42.526124+00"
"4","Gravel base layer","1","Gravel","false","true","31","91.18%","0","null","34.00","2025-03-25 12:22:42.526124+00"
"4","Partition phase 1","1","Partition","false","true","57","103.64%","0","null","55.00","2025-03-25 12:22:42.526124+00"
"5","Gravel base layer","1","Gravel","false","true","37","108.82%","0","null","34.00","2025-03-25 12:22:42.526124+00"
"5","Partition phase 1","1","Partition","false","true","59","107.27%","0","null","55.00","2025-03-25 12:22:42.526124+00"
"6","Gravel base layer","1","Gravel","false","true","37","108.82%","0","6","34.00","2025-03-25 12:22:42.526124+00"
"6","Partition phase 1","1","Partition","true","true","0","0.00%","0","null","55.00","2025-03-25 12:22:42.526124+00"
"7","Partition phase 1","1","Partition","true","true","0","0.00%","0","null","55.00","2025-03-25 12:22:42.526124+00"
"7","Electric conduits in the floor","1","Electricity","false","true","53","103.92%","6","null","51.00","2025-03-25 12:22:42.526124+00"
"7","Pipes in the floor","1","Plumbing","false","true","72","104.35%","6","null","69.00","2025-03-25 12:22:42.526124+00"
"7","Gravel base layer","2","Gravel","false","true","36","105.88%","6","null","34.00","2025-03-25 12:22:42.526124+00"
"8","Partition phase 1","1","Partition","false","true","59","107.27%","0","null","55.00","2025-03-25 12:22:42.526124+00"
