floor,process,trade,remaining_quantity,productivity,task_status,trade_status,day_number
1,Electric conduits in the floor,Electricity,80,51,pending,available,0
1,Electric conduits in the wall,Electricity,180,41,pending,available,0
1,Floor tiling,Tiling,720,62,pending,available,0
1,Gravel base layer,Gravel,170,34,pending,available,0
1,Partition phase 1,Partition,750,55,pending,available,0
1,Partition phase 2,Partition,20,51,pending,available,0
1,Partition phase 3,Partition,200,32,pending,available,0
1,Pipes in the floor,Plumbing,100,69,pending,available,0
1,Pipes in the wall,Plumbing,190,37,pending,available,0
1,Wall tiling,Tiling,290,27,pending,available,0
1,Electric conduits in the floor,Electricity,80,51,pending,available,1
1,Electric conduits in the wall,Electricity,180,41,pending,available,1
1,Floor tiling,Tiling,720,62,pending,available,1
1,Gravel base layer,Gravel,170,34,in_progress,busy,1
1,Partition phase 1,Partition,750,55,in_progress,busy,1
1,Partition phase 2,Partition,20,51,pending,busy,1
1,Partition phase 3,Partition,200,32,pending,busy,1
1,Pipes in the floor,Plumbing,100,69,pending,available,1
1,Pipes in the wall,Plumbing,190,37,pending,available,1
1,Wall tiling,Tiling,290,27,pending,available,1
1,Electric conduits in the floor,Electricity,80,51,pending,available,2
1,Electric conduits in the wall,Electricity,180,41,pending,available,2
1,Floor tiling,Tiling,720,62,pending,available,2
1,Gravel base layer,Gravel,136,34,in_progress,busy,2
1,Partition phase 1,Partition,695,55,in_progress,busy,2
1,Partition phase 2,Partition,20,51,pending,busy,2
1,Partition phase 3,Partition,200,32,pending,busy,2
1,Pipes in the floor,Plumbing,100,69,pending,available,2
1,Pipes in the wall,Plumbing,190,37,pending,available,2
1,Wall tiling,Tiling,290,27,pending,available,2
1,Electric conduits in the floor,Electricity,80,51,pending,available,3
1,Electric conduits in the wall,Electricity,180,41,pending,available,3
1,Floor tiling,Tiling,720,62,pending,available,3
1,Gravel base layer,Gravel,102,34,in_progress,busy,3
1,Partition phase 1,Partition,640,55,in_progress,busy,3
1,Partition phase 2,Partition,20,51,pending,busy,3
1,Partition phase 3,Partition,200,32,pending,busy,3
1,Pipes in the floor,Plumbing,100,69,pending,available,3
1,Pipes in the wall,Plumbing,190,37,pending,available,3
1,Wall tiling,Tiling,290,27,pending,available,3
1,Electric conduits in the floor,Electricity,80,51,pending,available,4
1,Electric conduits in the wall,Electricity,180,41,pending,available,4
1,Floor tiling,Tiling,720,62,pending,available,4
1,Gravel base layer,Gravel,68,34,in_progress,busy,4
1,Partition phase 1,Partition,585,55,in_progress,busy,4
1,Partition phase 2,Partition,20,51,pending,busy,4
1,Partition phase 3,Partition,200,32,pending,busy,4
1,Pipes in the floor,Plumbing,100,69,pending,available,4
1,Pipes in the wall,Plumbing,190,37,pending,available,4
1,Wall tiling,Tiling,290,27,pending,available,4
1,Electric conduits in the floor,Electricity,80,51,pending,available,5
1,Electric conduits in the wall,Electricity,180,41,pending,available,5
1,Floor tiling,Tiling,720,62,pending,available,5
1,Gravel base layer,Gravel,34,34,in_progress,busy,5
1,Partition phase 1,Partition,530,55,in_progress,busy,5
1,Partition phase 2,Partition,20,51,pending,busy,5
1,Partition phase 3,Partition,200,32,pending,busy,5
1,Pipes in the floor,Plumbing,100,69,pending,available,5
1,Pipes in the wall,Plumbing,190,37,pending,available,5
1,Wall tiling,Tiling,290,27,pending,available,5
1,Electric conduits in the floor,Electricity,80,51,in_progress,busy,6
1,Electric conduits in the wall,Electricity,180,41,pending,busy,6
1,Floor tiling,Tiling,720,62,pending,available,6
1,Gravel base layer,Gravel,0,34,completed,busy,6
1,Partition phase 1,Partition,475,55,in_progress,busy,6
1,Partition phase 2,Partition,20,51,pending,busy,6
1,Partition phase 3,Partition,200,32,pending,busy,6
1,Pipes in the floor,Plumbing,100,69,in_progress,busy,6
1,Pipes in the wall,Plumbing,190,37,pending,busy,6
1,Wall tiling,Tiling,290,27,pending,available,6
